work_id,name,created_at,director,publisher,ai_summary,cover_img,reward
44,mortal kombat,1995-01-01,폴 W. S. 앤더슨,New Line Cinema,,https://image.tmdb.org/t/p/w500/uPtIEeksAtQ7UMPOsRSNXrL0AkW.jpg,
45,to die for,1995-01-01,구스 반 산트,Columbia Pictures,,https://image.tmdb.org/t/p/w500/kjoFlJQbUqoP68HUlj88PhUDshe.jpg,
46,how to make an american quilt,1995-01-01,Jocelyn Moorhouse,Universal Pictures,,https://image.tmdb.org/t/p/w500/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,
47,seven,1995-01-01,존 스터지스,Alpha Productions,,https://image.tmdb.org/t/p/w500/e5ToxOyJwuZD4VOfI0qEn5uIjeJ.jpg,
48,pocahontas,1995-01-01,Mike Gabriel,Walt Disney Pictures,,https://image.tmdb.org/t/p/w500/tME6TSafIE2B3pjPqHAfxyBtTNz.jpg,
49,when night is falling,1995-01-01,Patricia Rozema,Alliance Films,,https://image.tmdb.org/t/p/w500/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,
50,usual suspects the,1995-01-01,브라이언 싱어,Bad Hat Harry Productions,,https://image.tmdb.org/t/p/w500/cbgicjq4Q2OVvXlfd3PqRlLvqmf.jpg,
52,mighty aphrodite,1995-01-01,우디 앨런,Miramax,,https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg,
53,lamerica,1994-01-01,Gianni Amelio,Alia Film,,https://image.tmdb.org/t/p/w500/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg,
54,big green the,1995-01-01,Holly Goldberg Sloan,Caravan Pictures,,https://image.tmdb.org/t/p/w500/gnOcJuyKWb3pR1lj4qpzSaThPrn.jpg,
55,georgia,1995-01-01,울루 그로스바드,CiBy 2000,,https://image.tmdb.org/t/p/w500/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,
57,home for the holidays,1995-01-01,조디 포스터,Egg Pictures,,https://image.tmdb.org/t/p/w500/3zqlKdOttWyExzopVxglz50Vjxq.jpg,
58,postman the,1994-01-01,Bob Rafelson,CIP Filmproduktion GmbH,,https://image.tmdb.org/t/p/w500/k52pPgVOHPwjIyMdvNZZi3Z7zFR.jpg,
60,indian in the cupboard the,1995-01-01,프랭크 오즈,Paramount Pictures,,https://image.tmdb.org/t/p/w500/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,
61,eye for an eye,1996-01-01,John Schlesinger,Paramount Pictures,,https://image.tmdb.org/t/p/w500/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,
62,mr hollands opus,1995-01-01,Stephen Herek,Hollywood Pictures,,https://image.tmdb.org/t/p/w500/5VZWm9mGJk1lpgWx1tae7AVHM6f.jpg,
63,dont be a menace to south central while drinking your juice in the hood,1996-01-01,Paris Barclay,Ivory Way Productions,,https://image.tmdb.org/t/p/w500/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,
64,two if by sea,1996-01-01,Bill Bennett,Morgan Creek,,https://image.tmdb.org/t/p/w500/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg,
65,biodome,1996-01-01,Jason Bloom,Weasel Productions,,https://image.tmdb.org/t/p/w500/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,
66,lawnmower man 2 beyond cyberspace,1996-01-01,Farhad Mann,New Line Cinema,,https://image.tmdb.org/t/p/w500/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg,
68,french twist,1995-01-01,Josiane Balasko,Les Films Flam,,https://image.tmdb.org/t/p/w500/lP4BHdzgW2PzdbMYulXIg2o9RqT.jpg,
69,friday,1995-01-01,F. 게리 게리,New Line Cinema,,https://image.tmdb.org/t/p/w500/g57KcE8tbpp3RK3DlIhPkfA6DE2.jpg,
70,from dusk till dawn,1996-01-01,로버트 로드리게즈,Los Hooligans Productions,,https://image.tmdb.org/t/p/w500/A2zS0TOyv0FjXm91CrkzBgrtw7X.jpg,
71,fair game,1995-01-01,Andrew Sipes,Silver Pictures,,https://image.tmdb.org/t/p/w500/mOkvcIumgUTxeYByx4CpHSxaLjS.jpg,
72,kicking and screaming,1995-01-01,노아 바움백,Castleberg Productions,,https://image.tmdb.org/t/p/w500/ynAtSpTou7snNOq32djzILw9VCA.jpg,
74,bed of roses,1996-01-01,Michael Goldenberg,New Line Cinema,,https://image.tmdb.org/t/p/w500/zCXvHCEm8334d0d646ldDkXnKws.jpg,
75,big bully,1996-01-01,스티브 마이너,Morgan Creek,,https://image.tmdb.org/t/p/w500/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg,
76,screamers,1995-01-01,Christian Duguay,Fuji Eight Company Ltd.,,https://image.tmdb.org/t/p/w500/eKhU6tCiKppMkn8WvLJuqvd6SXe.jpg,
77,nico icon,1995-01-01,Susanne Ofteringer,ZDF,,https://image.tmdb.org/t/p/w500/w3oiJZTB1UP3lj0uSVLdsYfsBbC.jpg,
78,crossing guard the,1995-01-01,숀 펜,Miramax,,https://image.tmdb.org/t/p/w500/kogaCIIylHmWQo2gJrrdq8Br8b8.jpg,
79,juror the,1996-01-01,Brian Gibson,Columbia Pictures,,https://image.tmdb.org/t/p/w500/xM91EpAzL0m0OJypBLHx6rEVJQV.jpg,
80,white balloon the,1995-01-01,자파르 파나히,I.R.I.B. Channel 2,,https://image.tmdb.org/t/p/w500/Ata1d5ef5KGiUP8bWkJQ5ZSEpNN.jpg,
81,things to do in denver when youre dead,1995-01-01,Gary Fleder,Miramax,,https://image.tmdb.org/t/p/w500/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg,
82,antonias line,1995-01-01,Marleen Gorris,Bergen Film,,https://image.tmdb.org/t/p/w500/z3dcNikmNfj6vgtq4Hy4fnjWsd0.jpg,
83,once upon a time when we were colored,1995-01-01,Tim Reid,BET Pictures,,https://image.tmdb.org/t/p/w500/2qeQStLy1wiqDFa1Dnm02f5UacO.jpg,
85,angels and insects,1995-01-01,Philip Haas,Playhouse International Pictures,,https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,
86,white squall,1996-01-01,리들리 스콧,Largo Entertainment,,https://image.tmdb.org/t/p/w500/muhTVa52IufjTaqNseXFQUAEuyG.jpg,
87,dunston checks in,1996-01-01,Ken Kwapis,Joe Wizan/Todd Black,,https://image.tmdb.org/t/p/w500/xR2cWC04kWNr7TBeXNOf4uOqn00.jpg,
88,black sheep,1996-01-01,Penelope Spheeris,Paramount Pictures,,https://image.tmdb.org/t/p/w500/bqIW5oE4WeHAvk1nh2Y6rfOLGrF.jpg,
89,nick of time,1995-01-01,John Badham,Paramount Pictures,,https://image.tmdb.org/t/p/w500/A1FJwUVg84sQSjHVz5jVMXQvifJ.jpg,
92,mary reilly,1996-01-01,스티븐 프리어스,NFH Films,,https://image.tmdb.org/t/p/w500/cW5wTiv5fdtBOd22utmAIZBCMS3.jpg,
93,vampire in brooklyn,1995-01-01,웨스 크레이븐,Paramount Pictures,,https://image.tmdb.org/t/p/w500/fodPA5x3REtOwColG17CucreZqM.jpg,
94,beautiful girls,1996-01-01,Ted Demme,Miramax,,https://image.tmdb.org/t/p/w500/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg,
95,broken arrow,1996-01-01,오우삼,The Mark Gordon Company,,https://image.tmdb.org/t/p/w500/xIsZWaNptn96oPz8PIld44p7qyu.jpg,
96,in the bleak midwinter,1995-01-01,케네스 브래너,Midwinter Films,,https://image.tmdb.org/t/p/w500/lam5mVjru6yhgG8N1MHCqAUrxzL.jpg,
97,hate,1995-01-01,Steve Loter,Gnome Productions,,https://image.tmdb.org/t/p/w500/krPTBIs4hbYei6ens2Dp8p6n1cS.jpg,
99,heidi fleiss hollywood madam,1995-01-01,Nick Broomfield,BBC,,https://image.tmdb.org/t/p/w500/laPSb9I8TuYslOh1OcgaTByWKnw.jpg,
100,city hall,1996-01-01,Harold Becker,Castle Rock Entertainment,,https://image.tmdb.org/t/p/w500/w7EkAl4Oi8Lc6VQKaqRHrOV3CxR.jpg,
101,bottle rocket,1996-01-01,웨스 앤더슨,Gracie Films,,https://image.tmdb.org/t/p/w500/6E7mJ5wpzTFbYFbJvTzzZ8Til9C.jpg,
102,mr wrong,1996-01-01,Nick Castle,Touchstone Pictures,,https://image.tmdb.org/t/p/w500/csSkKS6rcGjG8jjpwKZPVCD7Kiq.jpg,
103,unforgettable,1996-01-01,John Dahl,The De Laurentiis Company,,https://image.tmdb.org/t/p/w500/500Ne3EDn3HHpuCQWwGKR74r0cB.jpg,
104,happy gilmore,1996-01-01,Dennis Dugan,Universal Pictures,,https://image.tmdb.org/t/p/w500/epFP29rGrLPseuKxpz3mGKr23Do.jpg,
105,bridges of madison county the,1995-01-01,클린트 이스트우드,Warner Bros. Pictures,,https://image.tmdb.org/t/p/w500/8dCpmXx5olQSrTfWvtfnS9z7SuO.jpg,
106,nobody loves me,1994-01-01,도리스 되리,Cobra Film,,https://image.tmdb.org/t/p/w500/bIUC0c0cnIULgQrExGfoAZgKF5v.jpg,
107,muppet treasure island,1996-01-01,브라이언 헨슨,Walt Disney Pictures,,https://image.tmdb.org/t/p/w500/8UL6EcZGO1ssD60azzOtUPjnOZI.jpg,
108,catwalk,1996-01-01,Robert Leacock,Arrow Video,,https://image.tmdb.org/t/p/w500/8Db2Tx2RkTUozzilF1SGMitcHLl.jpg,
110,braveheart,1995-01-01,멜 깁슨,The Ladd Company,,https://image.tmdb.org/t/p/w500/3aEg4uxWUJsd1Mcx6TaQAlxZiyZ.jpg,
111,taxi driver,1976-01-01,마틴 스콜세지,Italo/Judeo Productions,,https://image.tmdb.org/t/p/w500/nJFKg6pyfmkLKttiLQKQuLZBLKH.jpg,
112,rumble in the bronx,1995-01-01,당계례,Orange Sky Golden Harvest,,https://image.tmdb.org/t/p/w500/9o8f0A7BRBBCFHjjlgkiDWOxdsA.jpg,
113,before and after,1996-01-01,Barbet Schroeder,Hollywood Pictures,,https://image.tmdb.org/t/p/w500/2VzYnRwwERMf6mVgzOlrPJk17wm.jpg,
116,anne frank remembered,1995-01-01,Jon Blair,Jon Blair Film,,https://image.tmdb.org/t/p/w500/6nyhzrSGimCbdxiY8DEO7kI7xx4.jpg,
117,young poisoners handbook the,1995-01-01,Benjamin Ross,Eurimages,,https://image.tmdb.org/t/p/w500/d3Lakfy0K1eRHUbay9kMeWdt7y6.jpg,
118,if lucy fell,1996-01-01,Eric Schaeffer,TriStar Pictures,,https://image.tmdb.org/t/p/w500/l3Bwmjdon6JBDzJUA3ZSdMZZ7lI.jpg,
119,steal big steal little,1995-01-01,Andrew Davis,Savoy Pictures,,https://image.tmdb.org/t/p/w500/83TvBaWt8wZHUZo8MKwE2cLRBiT.jpg,
121,boys of st vincent the,1992-01-01,John N. Smith,Téléfilm Canada,,https://image.tmdb.org/t/p/w500/wlfW9Id3t40gTZLwELtXr8A6RuF.jpg,
122,boomerang,1992-01-01,레지널드 허들린,Paramount Pictures,,https://image.tmdb.org/t/p/w500/cc9YAZq5NXiIEJsHjW7p2FaHQkp.jpg,
123,chungking express,1994-01-01,왕가위,Jet Tone Production,,https://image.tmdb.org/t/p/w500/xWHLnEqz6fXmTvWMF4N2y2aOH8U.jpg,
125,flirting with disaster,1996-01-01,데이비드 O. 러셀,Miramax,,https://image.tmdb.org/t/p/w500/yfuYLKrOcSlzydbtwdHeAWddKO7.jpg,
126,neverending story iii the,1994-01-01,Peter MacDonald,Dieter Geissler Filmproduktion,,https://image.tmdb.org/t/p/w500/4tXKMLAnuw8lEufqem4qtK56Ddd.jpg,
129,pie in the sky,1996-01-01,Bryan Gordon,Fine Line Features,,https://image.tmdb.org/t/p/w500/iZs2BzP1nbrcHCDX3QEHa3Nn0y4.jpg,
132,jade,1995-01-01,윌리엄 프리드킨,Paramount Pictures,,https://image.tmdb.org/t/p/w500/8KWiZKDYpAgh8n27lanvTuDquyX.jpg,
135,down periscope,1996-01-01,David S. Ward,20th Century Fox,,https://image.tmdb.org/t/p/w500/brleKcHsirTw7lFqcgUMOfgL2nl.jpg,
137,man of the year,1995-01-01,Dirk Shafer,Seventh Art Releasing,,https://image.tmdb.org/t/p/w500/jVO3Gvsdqe5C9Jr7cE1fSOtW2Op.jpg,
140,up close and personal,1996-01-01,Jon Avnet,Cinergi Pictures,,https://image.tmdb.org/t/p/w500/2yf1pCiQk6JMy4k5zxf39YXQxGB.jpg,
141,birdcage the,1996-01-01,마이크 니콜스,United Artists,,https://image.tmdb.org/t/p/w500/hU2XeckncHS61TWZKDtw1BrKmOO.jpg,
144,brothers mcmullen the,1995-01-01,Edward Burns,Videography,,https://image.tmdb.org/t/p/w500/6oWsOJP0ed5gs8n2UywcailoxFN.jpg,
145,bad boys,1995-01-01,마이클 베이,Columbia Pictures,,https://image.tmdb.org/t/p/w500/kNwqxVmtylfpnrcIjJuEuVwIHQC.jpg,
146,amazing panda adventure the,1995-01-01,Christopher Cain,Warner Bros. Pictures,,https://image.tmdb.org/t/p/w500/tIK40vCE9i8g4VhyJ3LLr5y1ROJ.jpg,
147,basketball diaries the,1995-01-01,Scott Kalvert,Island Pictures,,https://image.tmdb.org/t/p/w500/wS7T33FmPESrshSdfLxIEwGaVqK.jpg,
148,awfully big adventure an,1995-01-01,마이크 뉴웰,Fine Line Features,,https://image.tmdb.org/t/p/w500/tfXBuRBMbyu9IF9KCFz3kXeWQDT.jpg,
149,amateur,1994-01-01,할 하틀리,UGC,,https://image.tmdb.org/t/p/w500/n0lFhpnoctfsPo5GXvuvQSgv9Fj.jpg,
150,apollo 13,1995-01-01,론 하워드,Imagine Entertainment,,https://image.tmdb.org/t/p/w500/cm4HIWZQk7iVXOFxcYfpYL6bn4v.jpg,
151,rob roy,1995-01-01,Michael Caton-Jones,United Artists,,https://image.tmdb.org/t/p/w500/nl7Lg6VqR9h1Z9IKuUtttBB93wo.jpg,
152,addiction the,1995-01-01,아벨 페라라,Fast Films,,https://image.tmdb.org/t/p/w500/1Yy8H2tKQ16mffLFRfxcBHKBdyF.jpg,
153,batman forever,1995-01-01,조엘 슈마허,Warner Bros. Pictures,,https://image.tmdb.org/t/p/w500/xEiKDfJ8ATft9GnQebel0IcEY2i.jpg,
154,beauty of the day,1967-01-01,루이스 부뉴엘,Paris Films Productions,,https://image.tmdb.org/t/p/w500/xjwxy0qFe1kbGFIggXVRuela16F.jpg,
155,beyond rangoon,1995-01-01,존 부어만,Castle Rock Entertainment,,https://image.tmdb.org/t/p/w500/xTiy5kSP3Hetig7xB4E8INq5ron.jpg,
156,blue in the face,1995-01-01,웨인 왕,InterAL,,https://image.tmdb.org/t/p/w500/u0iwm9SDjlfFZDrSdSbcebX7VUG.jpg,
157,canadian bacon,1995-01-01,마이클 무어,PolyGram Filmed Entertainment,,https://image.tmdb.org/t/p/w500/bzK2aQ8xUB67kwCR5LHTSY99HtT.jpg,
158,casper,1995-01-01,Brad Silberling,The Harvey Entertainment Company,,https://image.tmdb.org/t/p/w500/2ah8fNJFZVU3vcXhU5xfAYi2eym.jpg,
159,clockers,1995-01-01,스파이크 리,40 Acres and a Mule Filmworks,,https://image.tmdb.org/t/p/w500/c79uqLJleho2a7OQayfrW5Ypphf.jpg,
160,congo,1995-01-01,프랭크 마셜,Paramount Pictures,,https://image.tmdb.org/t/p/w500/3RoqlpBkdK2y5PIW1fXGQiYTTrE.jpg,
161,crimson tide,1995-01-01,토니 스콧,Hollywood Pictures,,https://image.tmdb.org/t/p/w500/9VxDDqbrqu0KNOM9nuVMtGLCOwQ.jpg,
162,crumb,1994-01-01,테리 즈위고프,Superior Pictures,,https://image.tmdb.org/t/p/w500/9ocTHdBCJdwJ65Tubg3lYlfMxEY.jpg,
163,desperado,1995-01-01,로버트 로드리게즈,Columbia Pictures,,https://image.tmdb.org/t/p/w500/e3gwpBeXpvGZsxUya9zNym5QXrw.jpg,
164,devil in a blue dress,1995-01-01,Carl Franklin,Mundy Lane Entertainment,,https://image.tmdb.org/t/p/w500/5lcJhwKGavLbPva17QkTBhLfqEk.jpg,
165,die hard with a vengeance,1995-01-01,존 맥티어난,20th Century Fox,,https://image.tmdb.org/t/p/w500/cOyw8hiCzpEaL8hsYAH7TPE6QF2.jpg,
166,doom generation the,1995-01-01,그렉 아라키,Blurco,,https://image.tmdb.org/t/p/w500/f2qIJm1bWqTycNUZMVxLBW1tN1w.jpg,
168,first knight,1995-01-01,제리 주커,First Knight Productions,,https://image.tmdb.org/t/p/w500/xuXkCcrvUTkehVXuTGpnfySsx0Z.jpg,
169,free willy 2 the adventure home,1995-01-01,Dwight H. Little,Alcor Films,,https://image.tmdb.org/t/p/w500/3wpug3W5rYBdqeAnhc1UeXLE5ZF.jpg,
170,hackers,1995-01-01,이안 소프틀리,Suftley,,https://image.tmdb.org/t/p/w500/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg,
171,jeffrey,1995-01-01,Christopher Ashley,The Booking Office,,https://image.tmdb.org/t/p/w500/cacIqtIkUaD5xYqUUN1J7qJjciQ.jpg,
172,johnny mnemonic,1995-01-01,Robert Longo,TriStar Pictures,,https://image.tmdb.org/t/p/w500/hNMOGPx41YAhH7UVMk5XaX319h1.jpg,
173,judge dredd,1995-01-01,Danny Cannon,Cinergi Pictures,,https://image.tmdb.org/t/p/w500/lv1gzLJCf1S9WhfXxNm3OlVA1L2.jpg,
174,jury duty,1995-01-01,John Fortenberry,TriStar Pictures,,https://image.tmdb.org/t/p/w500/DbKQDPqBE4kCaePj4CHu6r3ZAb.jpg,
175,kids,1995-01-01,래리 클라크,The Guys Upstairs,,https://image.tmdb.org/t/p/w500/8qV8hUVCUnFIQKewzlhaFWhdszK.jpg,
176,living in oblivion,1995-01-01,톰 디칠로,JDI productions,,https://image.tmdb.org/t/p/w500/b54xDk98oWtEtAso9sj1wjaZDDH.jpg,
177,lord of illusions,1995-01-01,클라이브 바커,United Artists,,https://image.tmdb.org/t/p/w500/8MZu8s01psozeTuD6OzstP4vSvM.jpg,
178,love  human remains,1993-01-01,데니 아르캉,Atlantis Films,,https://image.tmdb.org/t/p/w500/9QVw6cPXfsjr4PncE1TeWudeLmh.jpg,
179,mad love,1995-01-01,Antonia Bird,Touchstone Pictures,,https://image.tmdb.org/t/p/w500/glhctWoYw1jg8z0FUSwFD4UTNi4.jpg,
180,mallrats,1995-01-01,케빈 스미스,Gramercy Pictures,,https://image.tmdb.org/t/p/w500/x8KaNUueouwA3XK2tytIWUZazi8.jpg,
181,mighty morphin power rangers the movie,1995-01-01,Bryan Spicer,Saban Entertainment,,https://image.tmdb.org/t/p/w500/pcLbHqs80dchv0byHivhdwHKEup.jpg,
184,nadja,1994-01-01,마이클 알메레이다,Kino Link Company,,https://image.tmdb.org/t/p/w500/sIZl6Oy5nn4kHKHamX50tSPF4Ob.jpg,
185,net the,1995-01-01,Irwin Winkler,Columbia Pictures,,https://image.tmdb.org/t/p/w500/zXPBtga5RtRVg5Mi22aCOpP1qtk.jpg,
186,nine months,1995-01-01,크리스 콜럼버스,1492 Pictures,,https://image.tmdb.org/t/p/w500/y3VwPenHpiuIGb0fhgyt7PXZKLB.jpg,
187,party girl,1995-01-01,Daisy von Scherler Mayer,Party Productions,,https://image.tmdb.org/t/p/w500/cfGEUftQVjvJHTTc3OKbzfsBamT.jpg,
188,prophecy the,1995-01-01,Gregory Widen,Overseas FilmGroup,,https://image.tmdb.org/t/p/w500/4ZWFhQipzBHJze2llzCzhrSIZsn.jpg,
189,reckless,1995-01-01,Norman René,American Playhouse,,https://image.tmdb.org/t/p/w500/edNTtl2UuKcU8vXEaYgu76vISXw.jpg,
190,safe,1995-01-01,토드 헤인즈,American Playhouse,,https://image.tmdb.org/t/p/w500/2O71QsBkbqdLqQdx2yuNpJ4pFPq.jpg,
191,scarlet letter the,1995-01-01,Roland Joffé,Cinergi Pictures,,https://image.tmdb.org/t/p/w500/8gIU7O3oV6NyWUjlL6ppbpnIZLW.jpg,
193,showgirls,1995-01-01,폴 버호벤,Chargeurs,,https://image.tmdb.org/t/p/w500/kLpj6T7SGj7xrnkDHEFxMgI510q.jpg,
194,smoke,1995-01-01,웨인 왕,Miramax,,https://image.tmdb.org/t/p/w500/1WMUaTQaj2dQrhsPI3Px0OR9eTF.jpg,
195,something to talk about,1995-01-01,라세 할스트룀,Hawn / Sylbert Movie Company,,https://image.tmdb.org/t/p/w500/a52KpsmvLNdTdmDzw1fUrJONpfH.jpg,
196,species,1995-01-01,Roger Donaldson,Metro-Goldwyn-Mayer,,https://image.tmdb.org/t/p/w500/4BfuDo5utvFmGjusy5oLeFp5txg.jpg,
198,strange days,1995-01-01,캐스린 비글로,Lightstorm Entertainment,,https://image.tmdb.org/t/p/w500/wlsTEF8DPDW6bpN224oY9SxFuSt.jpg,
199,umbrellas of cherbourg the,1964-01-01,자크 드미,Parc Film,,https://image.tmdb.org/t/p/w500/Atj7iBxDqpRHZkuV3CreinuhGdy.jpg,
201,three wishes,1995-01-01,Martha Coolidge,Savoy Pictures,,https://image.tmdb.org/t/p/w500/qY1Mz8bPGKYmrb4kY1zm7s4480V.jpg,
