work_id,name,author,ISBN,publisher,created_at,ai_summary,cover_img,reward
193657,strategies under surveillance,Geoffrey Westgate,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5211569-L.jpg,
193658,tussen god en duivel,Govert J Buijs,[''],,1900-01-01,,,
193659,largescale geologic structures,Jacque Debelmas,,,1900-01-01,,,
193660,la geometrie grecque,P. Tannery,,,1900-01-01,,,
193661,venise et la mer xiiexviiie siecle,Jean-Claude Hocquet,,,1900-01-01,,,
193662,alternativer landbau und feministische naturwissenschaftskritik,Maren Landschulze,[''],,1900-01-01,,,
193663,tod in der liebeliebe im tod,Uta Drecoll,,,1900-01-01,,,
193664,hercules florence 1833,Boris Kossoy,,,1900-01-01,,,
193665,sao roque do canaa,Luiz Carlos Biasutti,,,1900-01-01,,,
193666,temas filosoficos,José Geraldo Vidigal de Carvalho,,,1900-01-01,,,
193667,european frontier,Jorn Staecker,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3341840-L.jpg,
193668,reliker och mirakel,Lennart Joralv,[''],,1900-01-01,,,
193669,sprachgeprgte frauenbilder,Christa Stocker,,,1900-01-01,,,
193670,leonhard euler,Andreas K. Heyne,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3246670-L.jpg,
193671,i believe in justice and hope,Pedro Casaldáliga,[''],,1900-01-01,,,
193672,die rckkehr der helden,Nikolaus Frei,,,1900-01-01,,,
193673,paradoxos do posmoderno,Nizia Villaça,,,1900-01-01,,,
193674,reskripte der soldatenkaiser,Günter Schnebelt,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5493776-L.jpg,
193675,amphiphiles at interfaces,J Texter,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3261259-L.jpg,
193676,neuroreceptors in health and disease,J. Marwaha,[''],,1900-01-01,,,
193677,texte die alles sagen,Michael Eggers,,,1900-01-01,,,
193678,vom gewicht des schnen in kants theorie der urteile,Gregor Häfliger,,,1900-01-01,,,
193679,la side,Gerardo Young,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3347096-L.jpg,
193680,the ceremonial horns of the ashanti,Peter Sarpong,[''],,1900-01-01,,,
193681,wen xue jia zhi lun,Ma Cheng,,,1900-01-01,,,
193682,gan xie ku nan,Zhiyuan Sun,[''],,1900-01-01,,,
193683,luzhou zhi,Tun Ma,[''],,1900-01-01,,,
193684,liang jing xin ji ji jiao,Deyong Xin,[''],,1900-01-01,,,
193685,xi han hui yao,Tianlin Xu,[''],,1900-01-01,,,
193686,yu chao za shi,Shenzhen Zhao,,,1900-01-01,,,
193687,sichuan zhou xian jian zhi yan ge tu shuo,Naiqiang Ren,[''],,1900-01-01,,,
193688,huang zongjiang,Zongjiang Huang,[''],,1900-01-01,,,
193689,qian jia xue pai yan jiu,Zuwu Chen,[''],,1900-01-01,,,
193690,engesi zhuan 18201895,Zhuoji Xiao,,,1900-01-01,,,
193691,han wudi ben zhuan,Yingjie Yang,[''],,1900-01-01,,,
193692,cao xin ji,Sihe Chen,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/13122628-L.jpg,
193693,zhongguo jin dai shang ye ge ming,Yanping Hao,[''],,1900-01-01,,,
193694,gui yi jun shi yan jiu,Xinjiang Rong,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5238736-L.jpg,
193695,song ci yan jiu zhi lu,Yangzhong Liu,[''],,1900-01-01,,,
193696,cong zhan shi dao jiang jun di zheng cheng,Zijian Rao,[''],,1900-01-01,,,
193697,liu e xiao zhuan,Delong Liu,[''],,1900-01-01,,,
193698,zhigong fa si,Bstan-dzin-padmai-rgyal-mtshan,,,1900-01-01,,,
193699,xi zhou fa zhi shi,Liuyuan Hu,[''],,1900-01-01,,,
193700,su dongpo zhi hai jiao tian ya,Zhaofeng Yi,[''],,1900-01-01,,,
193701,ge mo chong tu y qu tong,Kaixi Wang,,,1900-01-01,,,
193702,qi yue guan nian yu zhi xu chuang xin,Renyu Li,[''],,1900-01-01,,,
193703,shang yang de fa l si xiang,Hegao Yang,,,1900-01-01,,,
193704,zhang zhidong yu guang ya shu yuan,Hanguang Zhou,[''],,1900-01-01,,,
193705,tuoba hong ping zhuan,Weirong Cheng,,,1900-01-01,,,
193706,yi dai xiao xiong wu peifu da zhuan,Jianlin Guo,[''],,1900-01-01,,,
193707,gendering awakening,Arja Rozenholm,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3349844-L.jpg,
193708,chen ziang zhuan,Chen Qu,,,1900-01-01,,,
193709,xin ling xue wen,Shilin Zhao,[''],,1900-01-01,,,
193710,yi yi jin dao,Ju Zhang,[''],,1900-01-01,,,
193711,song dai si yuan jing ji shi gao,Biao You,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5510796-L.jpg,
193712,shi jie wen xue ming zhu dan sheng ji,Jiaren Shen,,,1900-01-01,,,
193713,tang dai changan he zheng ju,Si Li,,,1900-01-01,,,
193714,xiao shuo qiao sui yu zhui he,Hongda Jin,,,1900-01-01,,,
193715,da jiang xu guangda,Fulu Xu,,,1900-01-01,,,
193716,qing hua guo xue yan jiu yuan shi hua,Dunheng Sun,[''],,1900-01-01,,,
193717,hu yaobang zhuan,Liming Chen,[''],,1900-01-01,,,
193718,jing cheng han shi,Jun Shu,,,1900-01-01,,,
193719,mo shu da shi zeng guozhen,Guo'an Fan,[''],,1900-01-01,,,
193720,zhongguo gong xiao he zuo she shi,Xiaoxian Chi,[''],,1900-01-01,,,
193721,shui shi zhongguo wei lai de qi ye ling xiu,Shusen Hou,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5352462-L.jpg,
193722,yi ran jiu shi ming yue,Changbao Guo,[''],,1900-01-01,,,
193723,sheng huo zhong de zhu de,Yali Wang,,,1900-01-01,,,
193724,xin yue xia di ye ying,Binghui Song,[''],,1900-01-01,,,
193725,zhongguo min jian wen xue,Guofan Gao,[''],,1900-01-01,,,
193726,song liang guang da jun shou chen yi ti kao,Zhiliang Li,,,1900-01-01,,,
193727,kong shangren ping zhuan,Zhen'gui Xu,[''],,1900-01-01,,,
193728,droit penal des societes commerciales,"Belloula, Tayeb.",,,1900-01-01,,,
193729,het bihit,Edirneli Sehı̂,,,1900-01-01,,,
193730,shui mu qing hua,Yanfu Huang,[''],,1900-01-01,,,
193731,kang youwei jiao yu si xiang yan jiu,Jianping Li,,,1900-01-01,,,
193732,jin ben chu ci,Haiwen Lan,[''],,1900-01-01,,,
193733,lei zhen yu taiwan min zhu xian zheng de fa zhan,Yude Ren,,,1900-01-01,,,
193734,qing dai jin rong hua hong lou,Ligang Tan,[''],,1900-01-01,,,
193735,zheng shuo cixi,Yanshi Ding,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/13243179-L.jpg,
193736,amei zu li shi,Jingchong Li,,,1900-01-01,,,
193737,qing mo min quan si xiang di fa zhan yu qi yi,Zhengxiong Xu,[''],,1900-01-01,,,
193738,taiwan ge zi xi,Fuling Yang,,,1900-01-01,,,
193739,feng shi wen jian ji jiao zhu,Yan Feng,[''],,1900-01-01,,,
193740,taiwan jin dai shi yan jiu,Micha Wu,[''],,1900-01-01,,,
193741,chen wanshui de gu shi,Mingyuan Wang,,,1900-01-01,,,
193742,vida sin estres,Arthur Sokoloff,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3350814-L.jpg,
193743,aznlk imtiyazlarkapitulasyonlardan tek hukuk sistemine gecis,Gülnihâl Bozkurt,,,1900-01-01,,,
193744,tang zong tao lue,Shi Chen,[''],,1900-01-01,,,
193745,sancl yllarizmir 19181922,Engin Berber,,,1900-01-01,,,
193746,gu cun luo,Peilin Liu,[''],,1900-01-01,,,
193747,qing dai yuan qin zhi du yan jiu,Dachuan Song,[''],,1900-01-01,,,
193748,sanmao zhi fu cong jun ji,Yue Qiu,,,1900-01-01,,,
193749,bing lei san shi liu zi jie,Ya Li,,,1900-01-01,,,
193750,tan wen shuo yi,Shuxian Sun,,,1900-01-01,,,
193751,zhongguo zai xiang yao lu,Yuanchu Zou,,,1900-01-01,,,
193752,zhongguo li dai kai guo huang di,Chunqiu Yang,[''],,1900-01-01,,,
193753,armenien und der volkermord,Taner Akçam,,,1900-01-01,,,
193754,ba qiao zhu,Chuyueshanren,[''],,1900-01-01,,,
193755,liao ping xue shu lun zhu xuan ji,Ping Liao,[''],,1900-01-01,,,
193756,song ci yan jiu,Yunyi Hu,[''],,1900-01-01,,,
193757,cai e,Fuxiang Liu,[''],,1900-01-01,,,
193758,makesi zhu yi zhe xue,Zhenqian Gong,[''],,1900-01-01,,,
193759,min guo guangdong jiang ling zhi,Yuhuan Chen,,,1900-01-01,,,
193760,lu da shi hua,Zhizheng Dong,,,1900-01-01,,,
193761,er cheng zhe xue ti xi,Wanli Pang,[''],,1900-01-01,,,
193762,she hui zhu yi zheng zhi jing ji xue shi,Ronggui Gao,[''],,1900-01-01,,,
193763,zhongguo ge ming zhan zheng ji shi,Lixin Jin,[''],,1900-01-01,,,
193764,ganjinahi tarikhi iran,Abd al-Azim Rizai,,,1900-01-01,,,
193765,rufaqayi bala,Manuchihr Kaymaram,,,1900-01-01,,,
193766,ainahi ibrat,Nasr Allah Sayfpur Fatimi,,,1900-01-01,,,
193767,pizhuhish dar nami shahrhayi iran,Īraj Afshār Sīstānī,,,1900-01-01,,,
193768,laatsor et haruah,Tova Harel,,,1900-01-01,,,
193769,ha ish shenitsea et atsmo,Orly Azoulay-Katz,,,1900-01-01,,,
193770,eski oguzca satraras tematik sozluk bahsayis lugati,Fikret Turan,,,1900-01-01,,,
193771,turkiye halknn ilkcag tarihi,Bilge Umar,,,1900-01-01,,,
193772,rimas leyendas y narraciones,Gustavo Adolpho Bécquer,,,1900-01-01,,,
193773,abi aziz abazah,Afaf Aziz Abazah,,,1900-01-01,,,
193774,alijaz alilmi fi alsunnah alnabawiyah,Zaghlul Raghib Muhammad Najjar,,,1900-01-01,,,
193775,alhams fi naqd alduktur muhammad mandur,Abd al-Latif Muhammad al-Sayyid Hadidi,,,1900-01-01,,,
193776,alyahud fi almaghrib alarabi 22462 h6421070 m,Abd al-Rahman Bashir,,,1900-01-01,,,
193777,alrazi altabib waatharuhu fi tarikh alilm alarabi,Khalid Ahmad Harbi,,,1900-01-01,,,
193778,maktabat aliskandariyah,Halah Salah,,,1900-01-01,,,
193779,proceedings of the fifth mexican school on statistical physics,Francisco Ramos-Gomez,[''],,1900-01-01,,,
193780,the beautiful india  arunachal pradesh,Balraj Verma,,,1900-01-01,,,
193781,radomierzyce,Jerzy Rostkowski,[''],,1900-01-01,,,
193782,doce hombres de letras,Marino Gomez-Santos,,,1900-01-01,,,
193783,los derechos del nino en el sistema interamericano,Mary Beloff,,,1900-01-01,,,
193784,desventuras de la mujer de 40 aos,Carmen del Solar,,,1900-01-01,,,
193785,pravattisastr kambuja,M. Trāṇe.,,,1900-01-01,,,
193786,alshahadah waaltahrir,Muhammad Qubaysi,,,1900-01-01,,,
193787,mujam alamkinah alwarid dhikruha fi sahih albukhari,Sad ibn Abd Allah Ibn Junaydil,,,1900-01-01,,,
193788,alsihafah watajdid althaqafah,Hafnawi Amayiriyah,,,1900-01-01,,,
193789,el shamn verde de la amazonia,Jaime Roberto Serpas,,,1900-01-01,,,
193790,fonaments de la ideologia liberalconservadora,Josep Maria Olle Romeu,,,1900-01-01,,,
193791,governor eduardo l joson,Isabelo T. Crisostomo,,,1900-01-01,,,
193792,ssse ngel der passion,Christoph Daxelmuller,,,1900-01-01,,,
193793,historia universal  el imperio japones v 20,J. W. Hall,,,1900-01-01,,,
193794,force 136,Chongzhi Chen,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3716427-L.jpg,
193795,pakai patut melayu,Mohd. Said bin Haji Sulaiman Dato' Haji,[''],,1900-01-01,,,
193796,arthur blackburn vc,Andrew Faulkner,,,1900-01-01,,,
193797,programacin neurolingstica,Gustavo Bertolotto Valles,,,1900-01-01,,,
193798,harimau malaya,Mohd. Zamberi A. Malek.,[''],,1900-01-01,,,
193799,a place of consequence,"Reece, Bob",[''],,1900-01-01,,https://covers.openlibrary.org/b/id/13738466-L.jpg,
193800,los multiples yos de juan goytisolo,Inger Enkvist angel Sahuquillo,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5272489-L.jpg,
193801,mujeres de luz,Pablo Beneito,[''],,1900-01-01,,,
193802,pembahasan karya fiksi dan puisi,U. U. Hamidy,[''],,1900-01-01,,,
193803,la pavana de sieberg,Julian Granado,,,1900-01-01,,,
193804,budaya korupsi ala indonesia,Haryono.,[''],,1900-01-01,,,
193805,menggugat kemandirian golkar,Andreas Pandiangan,[''],,1900-01-01,,,
193806,turning point,"Metropolitan Museum of Art (New York, N.Y.)",,,1900-01-01,,,
193807,rmjm,Rmjm,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/3337215-L.jpg,
193808,hyondae ui sahoe kwahak,Sung-hyon Kim,[''],,1900-01-01,,,
193809,euripidou tragodiae dio hekab kai iphigenia en aulidi  evripidis tragdiae dvae,Euripides,,,1900-01-01,,,
193810,freak reformers and marplots,Norman Murray,[''],,1900-01-01,,,
193811,yaa baby,B. Kese-Amankwaa,[''],,1900-01-01,,,
193812,de la condition legale de la mere,Sarmisa Bilcesco,,,1900-01-01,,,
193813,erffnetes cabinet dess gelehrten frauenzimmers,Johann Caspar Eberti,,,1900-01-01,,,
193814,madchenerziehung und kampf ums dasein,Bertha Pauli,,,1900-01-01,,,
193815,peraturan menteri dalam negeri no 5 1973 tentang tata cara permohonan hak atas tanah,Indonesia. Departemen Dalam Negeri.,,,1900-01-01,,,
193816,die sittenlehre christi,Ernst Salomon Cyprian,,,1900-01-01,,,
193817,perlawanan rakyat terhadap hegemoni kekuasaan,Zainuddin Fananie,[''],,1900-01-01,,,
193818,celebration of the two hundredth anniversary of the settlement of hadley massachusetts at hadley june 8 1859,Hadley (Mass. : Town),,,1900-01-01,,,
193819,life of edward norris kirkdd,David Otis Mears,,,1900-01-01,,,
193820,the curse of god against political atheism with some of the lessons of the tragedy at harpers ferry,"Cheever, George Barrell",,,1900-01-01,,,
193821,the life of darcy lady maxwell of pollock late of edinburgh,"Maxwell, Darcy Lady",,,1900-01-01,,,
193822,aeschylus,Aeschylus,[''],,1900-01-01,,,
193823,the centennial of new england methodism,George A. Crawford,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5935761-L.jpg,
193824,mmoires,Claude Haton,,,1900-01-01,,,
193825,rum bum and concertina,"Melly, George.",,,1900-01-01,,,
193826,records of proceedings and draft terms of peace,Conference on Near Eastern Affairs Lausanne 1922-1923,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5937938-L.jpg,
193827,le livre de la cration et de lhistoire dabouzd ahmed ben sahl elbalkh,Mutahhar ibn Tahir Maqdisi,,,1900-01-01,,,
193828,de parabasi veteris comoediae atticae parte antiquissima,Wilhelm Heinrich Kolster,,,1900-01-01,,,
193829,the land of the montezumas,Cora Hayward Crawford,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/5941395-L.jpg,
193830,how to survive a lawyer,Stephen Baker,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/6972294-L.jpg,
193831,legerdemain,James J. Heaphey,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/10770057-L.jpg,
193832,tang l shu yi yin de,Wallace Stephen Johnson,,,1900-01-01,,,
193833,lost courts of europe,Marie von Bunsen,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/9262173-L.jpg,
193834,meiji seijishi,Seizaburō Shinobu,[''],,1900-01-01,,,
193835,atlas histrico mundial,Hermann Kinder,,,1900-01-01,,,
193836,ang makapangyarihang kyutiks ni mama,Rene O. Villanueva,,,1900-01-01,,,
193837,national seminar on maternal infant and underfive mortality in indonesia jakarta 1213 december 1995,"National Seminar on Maternal, Infant, and Under-Five Mortality in Indonesia (1995 Jakarta, Indonesia)",,,1900-01-01,,,
193838,the life of chingiskhan,B. I︠A︡ Vladimirt︠s︡ov,,,1900-01-01,,,
193839,jk huysmans et ses amis lyonnais,André Billy,,,1900-01-01,,,
193840,vie de balzac,André Billy,[''],,1900-01-01,,,
193841,zhongguo wen xue pi ping shi,Genze Luo,[''],,1900-01-01,,,
193842,l administration dans la domination sinomandchoue en mongolie qalqa,Jacques Legrand,,,1900-01-01,,,
193843,kan jeon chosakusen,Chae-ŏn Kang,[''],,1900-01-01,,,
193844,chsen juky no nisennen,Chae-ŏn Kang,,,1900-01-01,,,
193845,hanguk sijo taesajn,Ŭl-su Pak,,,1900-01-01,,,
193846,namu,Sun-wŏn Yi,[''],,1900-01-01,,,
193847,gordon young,Wilfrid Wallace Ewens,[''],,1900-01-01,,,
193848,processing demands during the acquisition of motor skills requiring different feedback cues,Thomas Gilmour Reeve,[''],,1900-01-01,,,
193849,the effect of mental rehearsal and mental preparation,Jean Whitehead,[''],,1900-01-01,,,
193850,the use of augmented feedback for the modification of riding mechanics of inexperienced cyclists,David John Sanderson,[''],,1900-01-01,,,
193851,an investigation of motor impairment in juvenile delinquents,Janet W. Chapman,[''],,1900-01-01,,,
193852,imagery ability and learning of four movement patterns,Susan Kathryn Goss,[''],,1900-01-01,,,
193853,geophysical measurements in the beaver basin westcentral utah,Vincent J. Flanigan,,,1900-01-01,,,
193854,qayami pakistan ka muqaddamah tarikh ki adalat men,Ṣādiq Zāhid,,,1900-01-01,,,
193855,the world of insects through books,Richard Stanly Zack,[''],,1900-01-01,,,
193856,no sweeter fat,Nancy Pagh,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/12475794-L.jpg,
193857,edo kiriezu sanpo,"Ikenami, Shōtarō",[''],,1900-01-01,,,
193858,misaqi madinah,Muḥammad T̤āhirulqādrī,,,1900-01-01,,,
193859,literatura polska od jej pocztkw do chwili obecnej,Aleksander Brückner,,,1900-01-01,,,
193860,andong saramdul ui hangil tujaeng,Hŭi-gon Kim,,,1900-01-01,,,
193861,la gramatica de la felicidad,Annabel Martín,,,1900-01-01,,,
193862,balcistn men urd,Inamul Haq Kausar,,,1900-01-01,,,
193863,qazaq memleket zhne zhoshy khan,Zardykhan Qinai︠a︡tūly,,,1900-01-01,,,
193864,qing dai xi qu yan jiu wu ti,Fang Chen,[''],,1900-01-01,,,
193865,henry nathan a political biography,John Shewan,,,1900-01-01,,,
193866,improving writing performance of moderately handicapped students,Daniel R. Steward,[''],,1900-01-01,,,
193867,a topical bibliography on psychology of women,Helen R. Baer,,,1900-01-01,,,
193868,bao zhi shen pan zhi yan jiu,Yingfu You,[''],,1900-01-01,,,
193869,russkaia literatura uchebnaia krestomatiia dlia ix klassa natsionalnykh shkol,Vladimir Svirskiĭ,,,1900-01-01,,,
193870,the effects of student commitmentmaking changing the behavior of socially maladjusted students,Dennis Wayne Bolton,,,1900-01-01,,,
193871,song dai xin wen shi,Chuanyu Zhu,[''],,1900-01-01,,,
193872,historick mluvnice etiny,Arnošt Lamprecht,,,1900-01-01,,,
193873,virgilio y la pastoral espaola del renacimiento,Marcial José Bayo,,,1900-01-01,,,
193874,an experiment in the mass testing of attitude,Robert Lee Snodgrass,[''],,1900-01-01,,,
193875,a study of responses of prospective english teachers to a test on theories of literary criticism,Alan Lee Madsen,[''],,1900-01-01,,,
193876,le phnomne de la littrature,Clément Moisan,,,1900-01-01,,,
193877,han ying tui chao wu li hseh ming tzu hui pien,Zhang Sun,,,1900-01-01,,,
193878,nuclear physics,Luke C. L. Yuan,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/8608323-L.jpg,
193879,a study of the effectiveness of two methods of teaching science in grades four five and six,Edward W. Stefaniak,,,1900-01-01,,,
193880,gossip from the forest,Thomas Keneally,[''],,1900-01-01,,,
193881,kitaski tnos v srednie veka,M. V. Kri︠u︡kov,,,1900-01-01,,,
193882,fu miao lu,Hai O,[''],,1900-01-01,,,
193883,the history of korea,U-gŭn Han,[''],,1900-01-01,,,
193884,mongolyn burkhany shashny uran zokhiol,D. T︠S︡ėrėnsodnom,[''],,1900-01-01,,,
193885,dvorianskie porosiata,Sergeĭ E. Khitun,,,1900-01-01,,,
193886,arco at 125 years,Lodwrick M. Cook,[''],,1900-01-01,,,
193887,introduction a la phonologie historique de langues miaoyao,André-Georges Haudricourt,,,1900-01-01,,,
193888,salmon dams and concepts of nature on the columbia river 19301980,John F. Flancher,,,1900-01-01,,,
193889,the effect of a precision teaching intervention of the academic selfconcept of elementary school students,M. A. Tobin,,,1900-01-01,,,
193890,a comparative study of academic performance and persistence among community college associate degree transfer students at western washington university,Susan H. Meylor,[''],,1900-01-01,,,
193891,in the sea of tiny islands,Carolyn A. Elsey,[''],,1900-01-01,,,
193892,the measurement of body awareness of seventh eighth and ninthgrade girls and a comparison of this awareness to their ability to perform two gross motor tasks,Sandra Lee Leaverton,,,1900-01-01,,,
193893,agerelated changes in the release point velocity and acceleration in girls overarm throwing performance,Jin Hong Yan,,,1900-01-01,,,
193894,investigating the nature of two motor skills in children,Danny Ray Mielke,[''],,1900-01-01,,,
193895,the values of selected nursing home residents and the perception of those values by nursing home staff members,Martha Elizabeth Singletary Knox,[''],,1900-01-01,,,
193896,the effect of participation in high school wrestling upon hostility in boys,Charles Robert Brown,[''],,1900-01-01,,,
193897,safety belt knowledge attitudes and behaviors among minority adolescents,Thomas Michael Paczolt,,,1900-01-01,,,
193898,perceptualmotor performance of advantaged and disadvantaged preprimary school children,Lynda Marye Quan,,,1900-01-01,,,
193899,the attitudes of selected male college athletes and coaches toward the values of athletic participation,S. Thomas Stubbs,[''],,1900-01-01,,,
193900,linewidth temperature dependence of selected r and pbranch transitions in the vb3s fundamental of p16sop12scp32ss between 185k and 295k,Joshua K. McBee,,,1900-01-01,,,
193901,afghanistan 18 months of occupation,Eliza Van Hollen,,,1900-01-01,,,
193902,violent crime trends,Michael R Rand,[''],,1900-01-01,,,
193903,sulfur compound organiccarbon carbonatecarbon iron and mineral composition data on samples from the green river formation wyoming colorado and utah,M. L Tuttle,,,1900-01-01,,,
193904,sex offender registration in washington state,Barbara E. M. Felver,[''],,1900-01-01,,,
193905,smrt,Ėduard Limonov,[''],,1900-01-01,,,
193906,mongol khuul,Ė Avirmėd,,,1900-01-01,,,
193907,chingis sudlalyn nom zui,Ch Narantuiaa,,,1900-01-01,,,
193908,s chaepil saengae wa minjok undong,Sŏn-pʻyo Hong,,,1900-01-01,,,
193909,al ri waalmamn wawilyat alahd waafat min altrkh alabbs,Ḥasan Amīn,,,1900-01-01,,,
193910,operation deep freeze,Ellery D. Wallwork,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/6288149-L.jpg,
193911,india,Anita Ganeri,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/555592-L.jpg,
193912,the oxford history of english literature,E. K. Chambers,[''],,1900-01-01,,https://covers.openlibrary.org/b/id/8164002-L.jpg,
193913,the development of transportation in modern england,William T. Jackman,[''],,1900-01-01,,,
193914,syadvadamanjari,Malliṣeṇasūri,,,1900-01-01,,,
193915,the vedic gandharva and rebirth theory,Alex Wayman,[''],,1900-01-01,,,
193916,novel approaches,Eric C. Midwinter,[''],,1900-01-01,,,
193917,vi lenin o literature i iskusstve,Vladimir Il’ich Lenin,,,1900-01-01,,,
193918,nos grands savantes,Étienne Le Gal,[''],,1900-01-01,,,
